Encabezado:
	Formato: multipista sincronica
	Numero de pistas: 9
	Pulsos por negra: 384
Pista 0:
	Tama~no: 26
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
Final de la pista 0.
Pista 1:
	Tama~no: 690
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de programa, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: metaevento, Canal: 15
[768] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[1148] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[1152] Evento: nota encendida, Canal: 0, Nota: C, Octava: 5, Velocidad: 27
[1916] Evento: nota apagada, Canal: 0, Nota: C, Octava: 5, Velocidad: 27
[1920] Evento: nota encendida, Canal: 0, Nota: D, Octava: 5, Velocidad: 27
[2300] Evento: nota apagada, Canal: 0, Nota: D, Octava: 5, Velocidad: 27
[2304] Evento: nota encendida, Canal: 0, Nota: E, Octava: 5, Velocidad: 27
[2876] Evento: nota apagada, Canal: 0, Nota: E, Octava: 5, Velocidad: 27
[2880] Evento: nota encendida, Canal: 0, Nota: F, Octava: 5, Velocidad: 27
[3068] Evento: nota apagada, Canal: 0, Nota: F, Octava: 5, Velocidad: 27
[3072] Evento: nota encendida, Canal: 0, Nota: E, Octava: 5, Velocidad: 27
[3452] Evento: nota apagada, Canal: 0, Nota: E, Octava: 5, Velocidad: 27
[3456] Evento: nota encendida, Canal: 0, Nota: D, Octava: 5, Velocidad: 27
[4220] Evento: nota apagada, Canal: 0, Nota: D, Octava: 5, Velocidad: 27
[4224] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 27
[4604] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 27
[4608] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 27
[5180] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 27
[5184] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[5372] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[5376] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 27
[5756] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 27
[5760] Evento: nota encendida, Canal: 0, Nota: C, Octava: 5, Velocidad: 27
[6524] Evento: nota apagada, Canal: 0, Nota: C, Octava: 5, Velocidad: 27
[6528] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[6908] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[6912] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[7484] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 27
[7488] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 4, Velocidad: 27
[7676] Evento: nota apagada, Canal: 0, Nota: G#, Octava: 4, Velocidad: 27
