Encabezado:
	Formato: multipista sincronica
	Numero de pistas: 10
	Pulsos por negra: 384
Pista 0:
	Tama~no: 35
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[204284] Evento: metaevento, Canal: 15
[204284] Evento: metaevento, Canal: 15
Final de la pista 0.
Pista 1:
	Tama~no: 7970
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de programa, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de pitch, Canal: 0
[1536] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[1536] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[1536] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[1792] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[1792] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[1792] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[1920] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[2048] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[2112] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[2240] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[2304] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[2432] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[2496] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 100
[2752] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 0
[2880] Evento: nota encendida, Canal: 0, Nota: C, Octava: 5, Velocidad: 100
[3008] Evento: nota apagada, Canal: 0, Nota: C, Octava: 5, Velocidad: 0
[3072] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[3072] Evento: nota encendida, Canal: 0, Nota: E, Octava: 4, Velocidad: 100
[3072] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[3328] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[3328] Evento: nota apagada, Canal: 0, Nota: E, Octava: 4, Velocidad: 0
[3328] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[3456] Evento: nota encendida, Canal: 0, Nota: E, Octava: 4, Velocidad: 100
[3520] Evento: nota apagada, Canal: 0, Nota: E, Octava: 4, Velocidad: 0
[3552] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[3616] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[3648] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[3712] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[3744] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 100
[3808] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 0
[3840] Evento: nota encendida, Canal: 0, Nota: C, Octava: 5, Velocidad: 100
[3968] Evento: nota apagada, Canal: 0, Nota: C, Octava: 5, Velocidad: 0
[4032] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 100
[4160] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 0
[4224] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[4352] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[4416] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[4544] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[4608] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[4608] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[4608] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[4864] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[4864] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[4864] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[4992] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[4992] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[5120] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[5120] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[5184] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[5184] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[5312] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[5312] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[5376] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[5376] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[5504] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[5504] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[5568] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[5568] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[5824] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[5824] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[5952] Evento: nota encendida, Canal: 0, Nota: D, Octava: 4, Velocidad: 100
[5952] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[6080] Evento: nota apagada, Canal: 0, Nota: D, Octava: 4, Velocidad: 0
[6080] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[6144] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[6144] Evento: nota encendida, Canal: 0, Nota: E, Octava: 4, Velocidad: 100
[6208] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[6208] Evento: nota apagada, Canal: 0, Nota: E, Octava: 4, Velocidad: 0
[6240] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[6432] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[6528] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[6528] Evento: nota encendida, Canal: 0, Nota: E, Octava: 4, Velocidad: 100
[6656] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[6656] Evento: nota apagada, Canal: 0, Nota: E, Octava: 4, Velocidad: 0
[6720] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[6720] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[6848] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[6848] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[6912] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[6912] Evento: nota encendida, Canal: 0, Nota: G, Octava: 4, Velocidad: 100
[7040] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[7040] Evento: nota apagada, Canal: 0, Nota: G, Octava: 4, Velocidad: 0
[7104] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[7104] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[7232] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[7232] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[7296] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[7296] Evento: nota encendida, Canal: 0, Nota: E, Octava: 4, Velocidad: 100
[7424] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[7424] Evento: nota apagada, Canal: 0, Nota: E, Octava: 4, Velocidad: 0
[7488] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[7488] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[7616] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[7616] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[7680] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[7680] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[7680] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[7936] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[7936] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[7936] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[8064] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[8064] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[8064] Evento: nota encendida, Canal: 0, Nota: A, Octava: 4, Velocidad: 100
[8320] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[8320] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[8320] Evento: nota apagada, Canal: 0, Nota: A, Octava: 4, Velocidad: 0
[8448] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[8448] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[8448] Evento: nota encendida, Canal: 0, Nota: B, Octava: 4, Velocidad: 100
[8704] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[8704] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[8704] Evento: nota apagada, Canal: 0, Nota: B, Octava: 4, Velocidad: 0
[8832] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[8832] Evento: nota encendida, Canal: 0, Nota: F, Octava: 4, Velocidad: 100
[8832] Evento: nota encendida, Canal: 0, Nota: C, Octava: 5, Velocidad: 100
[9088] Evento: nota apagada, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[9088] Evento: nota apagada, Canal: 0, Nota: F, Octava: 4, Velocidad: 0
[9088] Evento: nota apagada, Canal: 0, Nota: C, Octava: 5, Velocidad: 0
