Encabezado:
	Formato: multipista sincronica
	Numero de pistas: 20
	Pulsos por negra: 240
Pista 0:
	Tama~no: 114
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 0
[16] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 0
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[80] Evento: metaevento, Canal: 15
[111] Evento: metaevento, Canal: 15
[111] Evento: metaevento, Canal: 15
Final de la pista 0.
Pista 1:
	Tama~no: 7843
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[31] Evento: cambio de control, Canal: 0
[62] Evento: cambio de control, Canal: 0
[93] Evento: cambio de control, Canal: 0
[240] Evento: cambio de control, Canal: 0
[241] Evento: cambio de control, Canal: 0
[242] Evento: cambio de programa, Canal: 0
[243] Evento: cambio de control, Canal: 0
[243] Evento: cambio de control, Canal: 0
[8640] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[8640] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[8760] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[8760] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[8880] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[8880] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[9000] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[9000] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[9120] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 127
[9120] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[9360] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[9360] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[9480] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
[9480] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 127
[9600] Evento: nota encendida, Canal: 0, Nota: D, Octava: 3, Velocidad: 0
[9600] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 0
[9720] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 127
[9720] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 127
[9840] Evento: nota encendida, Canal: 0, Nota: A#, Octava: 3, Velocidad: 0
[9840] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[9960] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 127
[9960] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 127
[10050] Evento: nota encendida, Canal: 0, Nota: G#, Octava: 3, Velocidad: 0
[10050] Evento: nota encendida, Canal: 0, Nota: C#, Octava: 4, Velocidad: 0
[10080] Evento: nota encendida, Canal: 0, Nota: G, Octava: 3, Velocidad: 127
