Encabezado:
	Formato: multipista sincronica
	Numero de pistas: 4
	Pulsos por negra: 120
Pista 0:
	Tama~no: 124
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
Final de la pista 0.
Pista 1:
	Tama~no: 1845
[0] Evento: metaevento, Canal: 15
[0] Evento: metaevento, Canal: 15
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de programa, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[0] Evento: cambio de control, Canal: 0
[60] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[120] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[120] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 100
[180] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[180] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[240] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[240] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 100
[300] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[300] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[360] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[360] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[420] Evento: nota encendida, Canal: 0, Nota: A, Octava: 3, Velocidad: 100
[480] Evento: nota encendida, Canal: 0, Nota: A, Octava: 3, Velocidad: 0
[480] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[540] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[600] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[600] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 100
[660] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[660] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[720] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[720] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 100
[780] Evento: nota encendida, Canal: 0, Nota: A, Octava: 3, Velocidad: 100
[840] Evento: nota encendida, Canal: 0, Nota: A, Octava: 3, Velocidad: 0
[840] Evento: nota encendida, Canal: 0, Nota: C, Octava: 4, Velocidad: 0
[840] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[900] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[900] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 100
[960] Evento: nota encendida, Canal: 0, Nota: F, Octava: 3, Velocidad: 0
[1020] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 100
[1080] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 0
[1080] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[1140] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[1140] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 100
[1200] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 0
[1200] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[1260] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[1260] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 100
[1320] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 0
[1320] Evento: nota encendida, Canal: 0, Nota: B, Octava: 3, Velocidad: 100
[1380] Evento: nota encendida, Canal: 0, Nota: B, Octava: 3, Velocidad: 0
[1380] Evento: nota encendida, Canal: 0, Nota: F#, Octava: 3, Velocidad: 100
[1440] Evento: nota encendida, Canal: 0, Nota: F#, Octava: 3, Velocidad: 0
[1500] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 100
[1560] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 0
[1560] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 100
[1620] Evento: nota encendida, Canal: 0, Nota: E, Octava: 3, Velocidad: 0
[1620] Evento: nota encendida, Canal: 0, Nota: D#, Octava: 3, Velocidad: 100
